year,title,reason,test,budget,domestic,international,runtime,votes,metascore,imdb,rating,language,country,writer,director,genre,plot
2011,Mars Needs Moms,dubious,fail,155.35,22.16,40.96,88,14083,49,5.4,PG,English,USA,"Simon Wells (screenplay), Wendy Wells (screenplay), Berkeley Breathed (book)",Simon Wells,"Animation, Action, Adventure",A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away.
2011,The Adjustment Bureau,dubious,fail,51.99,64.73,132.35,106,160323,60,7.1,PG-13,English,USA,"George Nolfi (screenplay), Philip K. Dick (short story ""Adjustment Team"")",George Nolfi,"Fantasy, Romance, Thriller",The affair between a politician and a ballerina is affected by mysterious forces keeping the lovers apart.
2011,The Rite,dubious,fail,38.32,34.23,99.48,114,61248,38,6,PG-13,"English, Welsh, Italian, Latin, Russian, Hungarian","USA, Hungary, Italy","Michael Petroni, Matt Baglio (book)",Mikael Håfström,"Drama, Horror, Thriller",An American seminary student travels to Italy to take an exorcism course.
2011,50/50,men,fail,8.29,36.27,42.81,100,207865,72,7.8,R,English,USA,Will Reiser,Jonathan Levine,"Comedy, Drama","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease."
2011,Cars 2,men,fail,207.14,198.28,580.15,106,68226,57,6.4,G,"English, Japanese, Italian, French",USA,"John Lasseter (original story by), Brad Lewis (original story by), Dan Fogelman (original story by), Ben Queen (screenplay)","John Lasseter, Brad Lewis","Animation, Adventure, Comedy",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
2011,Coriolanus,men,fail,10.36,0.78,1.09,123,22126,79,6.1,R,English,UK,"John Logan (screenplay), William Shakespeare (play)",Ralph Fiennes,"Drama, Thriller, War",A banished hero of Rome allies with a sworn enemy to take his revenge on the city.
2011,Dolphin Tale,men,fail,38.32,74.87,99.5,113,12619,64,6.9,PG,English,USA,"Karen Janszen, Noam Dromi",Charles Martin Smith,"Drama, Family",A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.
2011,Final Destination 5,men,fail,41.43,44.11,163.52,92,64357,50,5.9,R,"English, Cantonese","USA, Canada","Eric Heisserer, Jeffrey Reddick (characters)",Steven Quale,"Horror, Thriller",Survivors of a suspension-bridge collapse learn there's no way you can cheat Death.
2011,Hall Pass,men,fail,37.28,46.67,86.68,105,86487,45,5.9,R,English,USA,"Pete Jones (screenplay), Peter Farrelly (screenplay), Kevin Barnett (screenplay), Bobby Farrelly (screenplay), Pete Jones (story)","Bobby Farrelly, Peter Farrelly","Comedy, Romance","Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want."
2011,Hop,men,fail,65.25,111.94,191.52,95,18398,41,5.5,PG,English,USA,"Cinco Paul (screenplay), Ken Daurio (screenplay), Brian Lynch (screenplay), Cinco Paul (story), Ken Daurio (story)",Tim Hill,"Animation, Comedy, Family","E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car."
2011,Immortals,men,fail,77.68,86.48,219.11,110,112273,46,6.1,R,"English, Greek",USA,"Charley Parlapanides, Vlas Parlapanides",Tarsem Singh,"Action, Drama, Fantasy","Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity."
2011,The Three Musketeers,men,fail,93.21,21.11,144.87,110,69603,35,5.8,PG-13,English,"Germany, France, UK, USA","Alex Litvak (screenplay), Andrew Davies (screenplay), Alexandre Dumas père (novel)",Paul W.S. Anderson,"Action, Adventure, Romance",The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.
2011,We Bought a Zoo,men,fail,51.78,78.32,123.17,124,83832,58,7.2,PG,English,USA,"Aline Brosh McKenna (screenplay), Cameron Crowe (screenplay), Benjamin Mee (book)",Cameron Crowe,"Drama, Family","Set in Southern California, a father moves his young family to the countryside to renovate and re-open a struggling zoo."
2011,30 Minutes or Less,notalk,fail,29,38.38,42.43,83,63927,49,6.2,R,"English, German, Spanish","Germany, Canada, USA","Michael Diliberti (screenplay), Michael Diliberti (story), Matthew Sullivan (story)",Ruben Fleischer,"Action, Comedy, Crime","Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else..."
2011,Arthur Christmas,notalk,fail,88.03,48.12,152.89,97,25736,69,7.1,PG,English,"UK, USA","Peter Baynham (screenplay), Sarah Smith (screenplay)","Sarah Smith, Barry Cook","Animation, Comedy, Drama","On Christmas night at the North Pole, Santa's youngest son looks to use his father's high-tech operation for an urgent mission."
2011,Beastly,notalk,fail,17.61,28.86,39.39,86,45885,40,5.5,PG-13,English,USA,"Daniel Barnz (screenplay), Alex Flinn (novel)",Daniel Barnz,"Drama, Fantasy, Romance","A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love."
2011,Blackthorn,notalk,fail,4.66,0.21,1.29,102,5372,61,6.6,R,"English, Spanish","Spain, USA, Bolivia, France",Miguel Barros (scriptwriter),Mateo Gil,"Action, Adventure, Western","In Bolivia, Butch Cassidy (now calling himself James Blackthorne) pines for one last sight of home, an adventure that aligns him with a young robber and makes the duo a target for gangs and lawmen alike."
2011,Captain America: The First Avenger,notalk,fail,145,182.96,383.8,124,277792,66,6.8,PG-13,"English, Norwegian, French",USA,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Joe Simon (comic books), Jack Kirby (comic books)",Joe Johnston,"Action, Adventure, Sci-Fi","After being deemed unfit for military service, Steve Rogers volunteers for a top secret research project that turns him into Captain America, a superhero dedicated to defending USA ideals."
2011,Colombiana,notalk,fail,41.43,37.97,74.26,108,60079,45,6.4,PG-13,"English, Spanish",France,"Luc Besson (screenplay), Robert Mark Kamen (screenplay)",Olivier Megaton,"Action, Crime, Drama","A young woman, after witnessing her parents' murder as a child in Bogota, grows up to be a stone-cold assassin."
2011,Diary of a Wimpy Kid: Rodrick Rules,notalk,fail,18.64,54.58,76.33,99,13675,51,6.6,PG,English,USA,"Gabe Sachs (screenplay), Jeff Judah (screenplay), Jeff Kinney (book)",David Bowers,"Comedy, Family","Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond."
2011,Green Lantern,notalk,fail,207.14,120.76,239.45,114,169039,39,5.7,PG-13,English,USA,"Greg Berlanti (screenplay), Michael Green (screenplay), Marc Guggenheim (screenplay), Michael Goldenberg (screenplay), Greg Berlanti (screen story), Michael Green (screen story), Marc Guggenheim (screen story)",Martin Campbell,"Action, Adventure, Sci-Fi",A test pilot is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force.
2011,Harry Potter and the Deathly Hallows: Part 2,notalk,fail,129.46,394.61,1375.51,130,344216,87,8.1,PG-13,English,"USA, UK","Steve Kloves (screenplay), J.K. Rowling (novel)",David Yates,"Adventure, Fantasy, Mystery","Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord."
2011,I Am Number Four,notalk,fail,51.78,57.07,151.19,109,149524,36,6.1,PG-13,"English, French",USA,"Alfred Gough (screenplay), Miles Millar (screenplay), Marti Noxon (screenplay), Jobie Hughes (novel), James Frey (novel)",D.J. Caruso,"Drama, Romance, Sci-Fi","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story."
2011,In Time,notalk,fail,36.25,38.89,176.13,109,213311,53,6.6,PG-13,English,USA,Andrew Niccol,Andrew Niccol,"Action, Sci-Fi, Thriller","In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
2011,Limitless,notalk,fail,27.96,82.08,175.8,105,288788,59,7.4,PG-13,"English, Russian, Italian, Mandarin, French",USA,"Leslie Dixon (screenplay), Alan Glynn (novel)",Neil Burger,"Mystery, Sci-Fi, Thriller","With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers."
2011,Margin Call,notalk,fail,3.52,5.54,18.51,107,68508,76,7.1,R,English,USA,J.C. Chandor,J.C. Chandor,"Drama, Thriller","Follows the key people at an investment bank, over a 24-hour period, during the early stages of the financial crisis."
2011,Mission: Impossible - Ghost Protocol,notalk,fail,150.18,216.87,719.51,133,266646,73,7.4,PG-13,"English, Russian, French, Arabic, Swedish","USA, United Arab Emirates, Czech Republic","Josh Appelbaum, André Nemec, Bruce Geller (television series ""Mission: Impossible"")",Brad Bird,"Action, Thriller","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name."
2011,Moneyball,notalk,fail,51.78,78.3,115.14,133,220664,87,7.6,PG-13,English,USA,"Steven Zaillian (screenplay), Aaron Sorkin (screenplay), Stan Chervin (story), Michael Lewis (book)",Bennett Miller,"Biography, Drama, Sport",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
2011,Pirates of the Caribbean: On Stranger Tides,notalk,fail,258.92,249.67,1080.91,136,258392,45,6.7,PG-13,"English, Spanish",USA,"Ted Elliott (screenplay), Terry Rossio (screenplay), Ted Elliott (screen story), Terry Rossio (screen story), Ted Elliott (characters), Terry Rossio (characters), Stuart Beattie (characters), Jay Wolpert (characters), Tim Powers (novel)",Rob Marshall,"Action, Adventure, Fantasy","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
2011,Priest,notalk,fail,62.14,30.18,87.16,87,78938,41,5.7,PG-13,English,USA,"Cory Goodman, Min-Woo Hyung (graphic novel series ""Priest"")",Scott Stewart,"Action, Fantasy, Horror",A priest disobeys church law to track down the vampires who kidnapped his niece.
2011,Puss in Boots,notalk,fail,134.64,154.59,574.8,90,85506,65,6.7,PG,English,USA,"Charles Perrault (character), Tom Wheeler (screenplay), Brian Lynch (story), William Davies (story), Tom Wheeler (story)",Chris Miller,"Animation, Adventure, Comedy",The events leading up to the sword fighting cat's meeting with Shrek and his friends.
2011,Rango,notalk,fail,139.82,127.66,254.27,107,134510,75,7.3,PG,English,USA,"John Logan, John Logan (story), Gore Verbinski (story), James Ward Byrkit (story)",Gore Verbinski,"Animation, Adventure, Comedy","Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
2011,Real Steel,notalk,fail,113.93,88.51,303.7,127,193734,56,7.1,PG-13,English,"USA, India","John Gatins (screenplay), Dan Gilroy (story), Jeremy Leven (story), Richard Matheson (short story ""Steel"")",Shawn Levy,"Action, Drama, Sci-Fi","Set in the near future, where robot boxing is a top sport, a struggling promoter feels he's found a champion in a discarded robot. During his hopeful rise to the top, he discovers he has an 11-year-old son who wants to know his father."
2011,Rio,notalk,fail,93.21,148.75,504.92,96,116302,63,7,G,"English, Portuguese",USA,"Carlos Saldanha (story), Earl Richey Jones (story), Todd R. Jones (story), Don Rhymer (screenplay), Joshua Sternin (screenplay), J.R. Ventimilia (screenplay), Sam Harper (screenplay)",Carlos Saldanha,"Animation, Adventure, Comedy","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with this bird of his dreams."
2011,Rise of the Planet of the Apes,notalk,fail,96.32,183.07,500.09,105,272305,68,7.6,PG-13,"English, Sign Languages",USA,"Rick Jaffa, Amanda Silver, Pierre Boulle (novel)",Rupert Wyatt,"Action, Drama, Sci-Fi","A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising."
2011,Source Code,notalk,fail,33.14,56.66,145.44,93,269620,74,7.5,PG-13,English,"USA, Canada",Ben Ripley,Duncan Jones,"Mystery, Sci-Fi, Thriller",An action thriller centered on a soldier who wakes up in the body of an unknown man and discovers he's part of a mission to find the bomber of a Chicago commuter train.
2011,The Adventures of Tintin,notalk,fail,134.64,80.36,387.34,107,139438,68,7.4,PG,English,"USA, New Zealand","Steven Moffat (screenplay), Edgar Wright (screenplay), Joe Cornish (screenplay), Hergé (comic book series ""The Adventures of Tintin"")",Steven Spielberg,"Animation, Action, Adventure",Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.
2011,The Artist,notalk,fail,16.57,46.26,132.83,100,145446,89,8,PG-13,English,"France, Belgium, USA",Michel Hazanavicius,Michel Hazanavicius,"Comedy, Drama, Romance","A silent movie star meets a young dancer, but the arrival of talking pictures sends their careers in opposite directions."
2011,The Girl with the Dragon Tattoo,notalk,fail,93.21,106.17,241.49,158,243346,71,7.9,R,English,"USA, Sweden, Norway","Steven Zaillian (screenplay), Stieg Larsson (novel)",David Fincher,"Crime, Drama, Mystery","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
